ticker,date,publishedAt,source,title,vader_ready,neg,neu,pos,compound
AAPL,2025-05-22,2025-05-22T23:56:12Z,Yahoo Entertainment,Apple Inc. (AAPL) Partners with Emory Healthcare to Power First U.S. Hospital with Its Devices,Apple Inc. (AAPL) Partners with Emory Healthcare to Power First U.S. Hospital with Its Devices,0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T22:42:51Z,Applech2.com,Parallels、Windows 11仮想マシンでの不具合を修正したHotfixとなる「Parallels Desktop for Mac v20.3.1」をリリース。,Parallels、Windows 11仮想マシンでの不具合を修正したHotfixとなる「Parallels Desktop for Mac v20.3.1」をリリース。,0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T22:05:45Z,Applech2.com,AmazonでM2/M4 Proチップ搭載のMac miniやM3のMacBook Air/iMac、Apple Pencil (第2世代)の旧パッケージモデル、MagSafe充電器 (15W)などが最大25%OFFセール中。,AmazonでM2/M4 Proチップ搭載のMac miniやM3のMacBook Air/iMac、Apple Pencil (第2世代)の旧パッケージモデル、MagSafe充電器 (15W)などが最大25%OFFセール中。,0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T20:20:00Z,Quartz India,"Kraken to offer tokenized securities, including Apple, Tesla, and Nvidia, to customers outside the U.S","Kraken to offer tokenized securities, including Apple, Tesla, and Nvidia, to customers outside the U.S",0.0,0.864,0.136,0.296
AAPL,2025-05-22,2025-05-22T17:28:31Z,Biztoc.com,"“Some Say” Tesla (TSLA) Is Like Pre-iTunes Apple (AAPL), Tech Researcher Reports","“Some Say” Tesla (TSLA) Is Like Pre-iTunes Apple (AAPL), Tech Researcher Reports",0.0,0.815,0.185,0.3612
AAPL,2025-05-22,2025-05-22T17:11:46Z,Yahoo Entertainment,"“Some Say” Tesla (TSLA) Is Like Pre-iTunes Apple (AAPL), Tech Researcher Reports","“Some Say” Tesla (TSLA) Is Like Pre-iTunes Apple (AAPL), Tech Researcher Reports",0.0,0.815,0.185,0.3612
AAPL,2025-05-22,2025-05-22T17:03:40Z,TheStreet,"Nvidia, Tesla, and Apple stocks will be tokenized by Kraken","Nvidia, Tesla, and Apple stocks will be tokenized by Kraken",0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T16:51:43Z,Yahoo Entertainment,"Bitcoin hovers near $111,000 as crypto momentum grows","Bitcoin hovers near $111,000 as crypto momentum grows",0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T16:19:20Z,Yahoo Entertainment,蘋果股價週四跌0.36%，連七黑，瞄準AI穿戴明年底推智慧眼鏡,蘋果股價週四跌0.36%，連七黑，瞄準AI穿戴明年底推智慧眼鏡,0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T15:30:09Z,Biztoc.com,Why Goldman Remains Bullish on Apple (AAPL),Why Goldman Remains Bullish on Apple (AAPL),0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T15:21:38Z,Yahoo Entertainment,Why Goldman Remains Bullish on Apple (AAPL),Why Goldman Remains Bullish on Apple (AAPL),0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T15:09:22Z,Biztoc.com,"Industry Comparison: Evaluating Apple Against Competitors In Technology Hardware, Storage & Peripherals Industry","Industry Comparison: Evaluating Apple Against Competitors In Technology Hardware, Storage & Peripherals Industry",0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T14:38:00Z,Quartz India,OpenAI's next big bet: 100 million physical AI 'companions',OpenAI's next big bet: 100 million physical AI 'companions',0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T10:59:15Z,Applech2.com,Anker Japan、一般的な30W充電器と比較して約60%コンパクトなUSB急速充電器「Anker Zolo Charger (30W)」を発売。,Anker Japan、一般的な30W充電器と比較して約60%コンパクトなUSB急速充電器「Anker Zolo Charger (30W)」を発売。,0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T09:11:23Z,Applech2.com,Anker Japan、一般的な45W充電器と比較して約33%小型ながらMacBook AirなどノートPCの充電も可能なUSB-C充電器「Anker Nano Charger (45W) with USB-C ケーブル」を発売。,Anker Japan、一般的な45W充電器と比較して約33%小型ながらMacBook AirなどノートPCの充電も可能なUSB-C充電器「Anker Nano Charger (45W) with USB-C ケーブル」を発売。,0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T09:00:00Z,Quartz India,Wearables have flopped. Can Jony Ive and OpenAI change that?,Wearables have flopped. Can Jony Ive and OpenAI change that?,0.0,1.0,0.0,0.0
AAPL,2025-05-22,2025-05-22T08:54:51Z,ETF Daily News,Fitness Stocks To Research – May 20th,Fitness Stocks To Research – May 20th,0.0,0.704,0.296,0.2732
AAPL,2025-05-22,2025-05-22T08:54:48Z,ETF Daily News,Music Stocks To Research – May 20th,Music Stocks To Research – May 20th,0.0,1.0,0.0,0.0
