ticker,date,session,compound_count,compound_mean,compound_std,compound_max,compound_min
AAPL,2025-04-23,after_close,99,0.011672727272727274,0.32982996015516164,0.8176,-0.6808
AAPL,2025-04-23,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-04-23,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-04-24,after_close,90,0.11417333333333334,0.3583357721091124,0.8807,-0.8225
AAPL,2025-04-24,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-04-24,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-04-25,after_close,85,0.017288235294117646,0.3664230798290039,0.8851,-0.8126
AAPL,2025-04-25,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-04-25,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-04-28,after_close,67,0.022159701492537313,0.38068616998531923,0.8834,-0.7906
AAPL,2025-04-28,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-04-28,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-04-29,after_close,59,0.020767796610169493,0.3673426355272362,0.9001,-0.8074
AAPL,2025-04-29,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-04-29,trading,8,0.2399625,0.3535005594560131,0.8934,0.0
AAPL,2025-04-30,after_close,78,-0.005056410256410257,0.3788358876394497,0.7964,-0.9099
AAPL,2025-04-30,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-04-30,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-01,after_close,88,0.000521590909090909,0.30490179819077595,0.7845,-0.7783
AAPL,2025-05-01,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-01,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-02,after_close,55,0.18228181818181816,0.33501737218135363,0.8176,-0.6808
AAPL,2025-05-02,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-02,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-05,after_close,63,0.14112063492063492,0.3287379229518358,0.8126,-0.743
AAPL,2025-05-05,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-05,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-06,after_close,65,0.11476461538461538,0.3425092514401843,0.8126,-0.6486
AAPL,2025-05-06,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-06,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-07,after_close,95,0.0832,0.3171926299082075,0.7906,-0.9571
AAPL,2025-05-07,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-07,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-08,after_close,59,0.12429830508474578,0.34329488303966266,0.8225,-0.5994
AAPL,2025-05-08,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-08,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-09,after_close,85,0.09189411764705882,0.38568486314018363,0.875,-0.8658
AAPL,2025-05-09,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-09,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-12,after_close,86,0.17267441860465116,0.31166115807963674,0.8221,-0.4585
AAPL,2025-05-12,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-12,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-13,after_close,68,0.05209705882352941,0.34893524651413055,0.743,-0.7469
AAPL,2025-05-13,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-13,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-14,after_close,70,0.045282857142857146,0.36384628621399784,0.8977,-0.906
AAPL,2025-05-14,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-14,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-15,after_close,69,0.0012318840579710155,0.3441858926137724,0.8316,-0.7506
AAPL,2025-05-15,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-15,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-16,after_close,91,0.010570329670329672,0.3408826006753989,0.7579,-0.6369
AAPL,2025-05-16,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-16,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-19,after_close,62,0.10703387096774193,0.32425869552077635,0.8718,-0.8481
AAPL,2025-05-19,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-19,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-20,after_close,92,0.09559673913043479,0.30828178078322477,0.8176,-0.7964
AAPL,2025-05-20,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-20,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-21,after_close,83,0.04061084337349397,0.2989619023008263,0.7964,-0.7964
AAPL,2025-05-21,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-21,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-22,after_close,3,0.0,0.0,0.0,0.0
AAPL,2025-05-22,pre_open,24,0.15990833333333335,0.2515552267424576,0.765,0.0
AAPL,2025-05-22,trading,9,0.08026666666666667,0.15927422892608836,0.3612,0.0
AAPL,2025-05-23,after_close,97,-0.0020247422680412333,0.3278831950402104,0.7867,-0.7351
AAPL,2025-05-23,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-23,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-26,after_close,28,0.06516785714285714,0.35641835390822046,0.7906,-0.5423
AAPL,2025-05-26,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-26,trading,45,0.07965111111111112,0.36879724389020335,0.802,-0.7845
AAPL,2025-05-27,after_close,79,0.12356708860759492,0.37602269357372675,0.8519,-0.8591
AAPL,2025-05-27,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-27,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-28,after_close,74,0.05290270270270271,0.3335692986155901,0.6597,-0.8176
AAPL,2025-05-28,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-28,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-05-29,after_close,65,0.027710769230769233,0.3419519022844609,0.8225,-0.6486
AAPL,2025-05-29,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-29,trading,1,-0.5423,,-0.5423,-0.5423
AAPL,2025-05-30,after_close,54,0.19227407407407407,0.3461142417927468,0.7964,-0.6124
AAPL,2025-05-30,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-05-30,trading,19,-0.01127368421052631,0.3305600312636206,0.891,-0.6486
AAPL,2025-06-02,after_close,59,0.02977627118644068,0.2746308521351469,0.7906,-0.7269
AAPL,2025-06-02,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-06-02,trading,3,-0.2733666666666667,0.4734849557624121,0.0,-0.8201
AAPL,2025-06-03,after_close,52,0.12559423076923076,0.3553447325987416,0.765,-0.802
AAPL,2025-06-03,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-06-03,trading,16,0.011962499999999987,0.4937607300099918,0.8402,-0.802
AAPL,2025-06-04,after_close,84,0.0014690476190476179,0.32927286226712954,0.7783,-0.7717
AAPL,2025-06-04,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-06-04,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-06-05,after_close,76,0.053303947368421055,0.38627416392705305,0.7269,-0.8979
AAPL,2025-06-05,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-06-05,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-06-06,after_close,59,0.04628474576271186,0.31976584796053037,0.9022,-0.6249
AAPL,2025-06-06,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-06-06,trading,2,0.0,0.0,0.0,0.0
AAPL,2025-06-09,after_close,90,0.06753777777777778,0.2818125337432343,0.7146,-0.5994
AAPL,2025-06-09,pre_open,0,0.0,0.0,0.0,0.0
AAPL,2025-06-09,trading,0,0.0,0.0,0.0,0.0
AAPL,2025-06-10,after_close,91,0.11998901098901099,0.305595812744201,0.8074,-0.6705
AAPL,2025-06-10,pre_open,0,0.0,0.0,0.0,0.0
