bin_end_time,compound_count,compound_mean,compound_std,compound_max,compound_min,ticker
2025-04-23 09:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 10:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 10:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 11:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 11:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 12:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 12:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 13:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 13:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 14:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 14:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 15:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 15:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 16:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-23 16:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 09:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 10:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 10:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 11:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 11:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 12:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 12:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 13:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 13:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 14:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 14:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 15:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 15:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 16:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-24 16:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 09:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 10:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 10:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 11:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 11:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 12:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 12:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 13:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 13:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 14:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 14:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 15:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 15:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 16:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-25 16:30:00-04:00,17,0.03637647058823529,0.3798839667079472,0.7351,-0.7506,GOOGL
2025-04-28 09:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 10:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 10:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 11:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 11:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 12:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 12:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 13:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 13:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 14:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 14:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 15:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 15:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 16:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-28 16:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 09:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 10:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 10:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 11:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 11:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 12:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 12:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 13:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 13:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 14:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 14:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 15:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 15:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 16:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-29 16:30:00-04:00,19,0.06607894736842107,0.3176663878609259,0.5994,-0.5719,GOOGL
2025-04-30 09:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 10:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 10:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 11:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 11:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 12:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 12:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 13:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 13:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 14:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 14:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 15:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 15:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 16:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-04-30 16:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 09:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 10:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 10:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 11:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 11:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 12:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 12:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 13:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 13:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 14:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 14:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 15:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 15:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 16:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-01 16:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 09:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 10:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 10:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 11:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 11:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 12:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 12:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 13:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 13:30:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
2025-05-02 14:00:00-04:00,0,0.0,0.0,0.0,0.0,GOOGL
