bin_end_time,open,high,low,close,volume,bin_return,volume_change,bin_range,ticker,lagged_return,lagged_volume_change,lagged_bin_range
2025-04-23 09:30:00-04:00,155.61000061035156,157.0850067138672,155.3350067138672,156.89500427246094,5384982,0.008257847548802655,0.0,1.75,GOOGL,0.0,0.0,0.0
2025-04-23 10:00:00-04:00,156.91000366210938,157.47999572753906,156.16000366210938,157.02999877929688,2604916,0.000764738476750626,-0.5162628213056237,1.3199920654296875,GOOGL,0.008257847548802655,0.0,1.75
2025-04-23 10:30:00-04:00,157.0,157.52499389648438,156.66000366210938,156.8300018310547,2251638,-0.0010827908850019607,-0.1356197282369181,0.864990234375,GOOGL,0.000764738476750626,-0.5162628213056237,1.3199920654296875
2025-04-23 11:00:00-04:00,156.83999633789062,157.0800018310547,154.9600067138672,155.3000030517578,2171451,-0.00981888116609686,-0.035612740591516,2.1199951171875,GOOGL,-0.0010827908850019607,-0.13561972823691815,0.864990234375
2025-04-23 11:30:00-04:00,155.3300018310547,155.50999450683594,153.80999755859375,154.6999969482422,2319298,-0.0040559124147678816,0.0680867309462658,1.6999969482421875,GOOGL,-0.00981888116609686,-0.03561274059151609,2.1199951171875
2025-04-23 12:00:00-04:00,154.6999969482422,154.75999450683594,153.88999938964844,154.6999969482422,1064035,0.0,-0.5412254052734922,0.8699951171875,GOOGL,-0.0040559124147678816,0.06808673094626583,1.6999969482421875
2025-04-23 12:30:00-04:00,154.69000244140625,155.4499969482422,154.5,155.31500244140625,1038613,0.0040403386782332795,-0.0238920712194617,0.9499969482421876,GOOGL,0.0,-0.5412254052734922,0.8699951171875
2025-04-23 13:00:00-04:00,155.30999755859375,155.8300018310547,154.52999877929688,155.53500366210938,960152,0.001448754793977436,-0.0755440188019984,1.3000030517578125,GOOGL,0.0040403386782332795,-0.023892071219461797,0.9499969482421875
2025-04-23 13:30:00-04:00,155.55999755859375,155.72999572753906,155.0800018310547,155.4199981689453,869322,-0.0008999703769968503,-0.0945996050625317,0.649993896484375,GOOGL,0.001448754793977436,-0.07554401880199846,1.3000030517578125
2025-04-23 14:00:00-04:00,155.4199981689453,155.9600067138672,155.0399932861328,155.2899932861328,991259,-0.0008364746129464473,0.1402667826190986,0.920013427734375,GOOGL,-0.0008999703769968503,-0.09459960506253173,0.649993896484375
2025-04-23 14:30:00-04:00,155.30999755859375,155.7100067138672,155.17959594726562,155.37359619140625,1059181,0.0004094947769766044,0.0685209415500893,0.5304107666015625,GOOGL,-0.0008364746129464473,0.14026678261909864,0.920013427734375
2025-04-23 15:00:00-04:00,155.3800048828125,155.5050048828125,154.64999389648438,154.8699951171875,1377421,-0.003282338457960887,0.3004585618510906,0.855010986328125,GOOGL,0.0004094947769766044,0.06852094155008936,0.5304107666015625
2025-04-23 15:30:00-04:00,154.85000610351562,155.74000549316406,154.4199981689453,155.27000427246094,3326285,0.0027122902963565565,1.414864445946446,1.32000732421875,GOOGL,-0.003282338457960887,0.30045856185109066,0.855010986328125
2025-04-24 09:30:00-04:00,156.7899932861328,157.97999572753906,155.8000030517578,157.9199981689453,4558902,0.007207123740035515,0.3705686674473174,2.17999267578125,GOOGL,0.0027122902963565565,1.4148644459464461,1.32000732421875
